week_start,split,actual,predicted,us_federal_holiday_week,bfcm_week,residual,residual_pct
2023-08-11,train,158421.22,178513.63378682965,0,0,-20092.413786829653,-12.682905602437383
2023-08-18,train,151992.91,184062.0870565329,0,0,-32069.177056532906,-21.099126963575408
2023-08-25,train,164031.6,185583.929170945,0,0,-21552.329170944984,-13.139132442130041
2023-09-01,train,158379.95,190141.24742305282,1,0,-31761.297423052805,-20.053862514196275
2023-09-08,train,187510.3,198811.39299587693,0,0,-11301.092995876941,-6.0269185190770544
2023-09-15,test,140242.25,204155.17596947076,0,0,-63912.92596947076,-45.57323201066066
2023-09-22,test,136238.02000000002,205958.7262302619,0,0,-69720.70623026189,-51.175660238061205
2023-09-29,test,139939.12,205787.13056249183,0,0,-65848.01056249184,-47.05475535539443
2023-10-06,test,157605.49,221789.3028957755,1,0,-64183.81289577551,-40.72435097011882
2023-10-13,test,253151.86,242584.69619151254,0,0,10567.163808487443,4.174239054963864
2023-10-20,test,276994.41000000003,261931.14657963114,0,0,15063.263420368894,5.4381109786182655
2023-10-27,test,305757.57,269568.19587255304,0,0,36189.374127446965,11.835969957325004
2023-11-03,test,366332.11,283507.18871456175,0,0,82824.92128543823,22.609244187040616
2023-11-10,test,311092.33,292238.61765146116,1,0,18853.71234853886,6.060487684970844
2023-11-17,test,406676.21,316797.35960774595,1,0,89878.85039225407,22.1008380087574
2023-11-24,test,675204.45,454226.44325765193,0,1,220978.00674234802,32.727569663136556
2023-12-01,test,588002.41,307665.56611339265,0,0,280336.8438866074,47.67613858701827
2023-12-08,test,706976.79,319121.3183529872,0,0,387855.47164701286,54.86113223703042
2023-12-15,test,551127.59,311729.2820262819,0,0,239398.3079737181,43.43791026207164
2023-12-22,test,347337.21,274169.7816880151,1,0,73167.42831198493,21.065243286771643
2023-12-29,test,216840.98,251277.42725565346,1,0,-34436.447255653446,-15.88096828175811
2024-01-05,test,180164.83,236482.74263476615,0,0,-56317.912634766166,-31.259104584821674
